Name_Station,Latitude_Station,Longitude_Station,Number_Of_Bikes,Venue_Name,Venue_Address,Venue_Distance,Venue_Phone,Venue_Rating,Venue_Price,Venue_Review_Count,Venue_URL,Venue_Subcategory,Venue_Category
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Victoria's Secret,1,1073.465460500583,1,4.1,2,35,1.0,Lingerie,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,O&CO,0,648.8679887066544,0,4.7,3,20,0.0,Imported Food,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Midtown Catch,1,448.13527323206034,1,4.7,2,27,1.0,Seafood Markets,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Roy's Fish Market,1,855.1823416982271,1,4.5,2,262,1.0,Seafood Markets,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Katagiri Japanese Grocery,1,1059.4145378932403,1,4.4,2,205,1.0,Convenience Stores,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Eclair Bakery,1,175.7928273112239,1,4.4,2,743,1.0,Bakeries,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Murray's Cheese at Grand Central,1,929.5837946996552,1,4.4,2,122,1.0,Cheese Shops,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Dag Hammarskjöld Plaza Greenmarket,1,427.893972844768,1,4.4,2,31,0.0,Farmers Market,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,East 67th Street Market,1,1205.6634296799357,0,4.3,2,19,0.0,Farmers Market,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Trader Joe's,1,611.000823560258,1,4.3,2,70,1.0,Grocery,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,49th and 2nd Fruit Stand,1,286.712252656828,0,4.3,1,7,0.0,Fruits & Veggies,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Ideal Cheese Shop,1,74.73729388013082,1,4.2,2,83,1.0,Cheese Shops,supermarket
